t=2026-01-06T00:31:40-0500 lvl=info msg="no configuration paths supplied"
t=2026-01-06T00:31:40-0500 lvl=info msg="using configuration at default config path" path=/home/zepvalue/.config/ngrok/ngrok.yml
t=2026-01-06T00:31:40-0500 lvl=info msg="open config file" path=/home/zepvalue/.config/ngrok/ngrok.yml err=nil
t=2026-01-06T00:31:40-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-06T00:31:40-0500 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-01-06T00:31:40-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-01-06T00:31:41-0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-06T00:31:41-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-06T00:31:41-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://c9599ed56cd0.ngrok-free.app
t=2026-01-06T00:33:17-0500 lvl=info msg="join connections" obj=join id=994fefa2fd79 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:33:17-0500 lvl=info msg="join connections" obj=join id=ae261b0ba2f7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:33:17-0500 lvl=info msg="join connections" obj=join id=c273c6d6242d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:06-0500 lvl=info msg="join connections" obj=join id=508a15af328b l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:06-0500 lvl=info msg="join connections" obj=join id=7eb6f3c40dff l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:06-0500 lvl=info msg="join connections" obj=join id=8a107a0f3e96 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:11-0500 lvl=info msg="join connections" obj=join id=4acebc3c5c9a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:14-0500 lvl=info msg="join connections" obj=join id=957ff8ca6df5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:19-0500 lvl=info msg="join connections" obj=join id=2fb5b4b10607 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:19-0500 lvl=info msg="join connections" obj=join id=24236372d488 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:25-0500 lvl=info msg="join connections" obj=join id=545ac2361959 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:25-0500 lvl=info msg="join connections" obj=join id=3a6b7b096fd4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:30-0500 lvl=info msg="join connections" obj=join id=39139baa54a3 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:30-0500 lvl=info msg="join connections" obj=join id=068d07ee884d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:30-0500 lvl=info msg="join connections" obj=join id=4ecd95d15c33 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:34-0500 lvl=info msg="join connections" obj=join id=06833f03f9e0 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:34-0500 lvl=info msg="join connections" obj=join id=9d519c60a180 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:34-0500 lvl=info msg="join connections" obj=join id=85966763c1e2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:36-0500 lvl=info msg="join connections" obj=join id=e33146058a5a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:36-0500 lvl=info msg="join connections" obj=join id=68711033d5bf l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:39-0500 lvl=info msg="join connections" obj=join id=88171565dbb7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:39-0500 lvl=info msg="join connections" obj=join id=dfbce2186f95 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:41-0500 lvl=info msg="join connections" obj=join id=30e67a269ec2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:41-0500 lvl=info msg="join connections" obj=join id=0fa0259f1769 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:42-0500 lvl=info msg="join connections" obj=join id=ee6d76438352 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:43-0500 lvl=info msg="join connections" obj=join id=538ccd90f5b4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:44-0500 lvl=info msg="join connections" obj=join id=563245aa2b5f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:44-0500 lvl=info msg="join connections" obj=join id=b17c1f99c2fe l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:48-0500 lvl=info msg="join connections" obj=join id=99e624cd31f6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:48-0500 lvl=info msg="join connections" obj=join id=7642faaa1462 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:50-0500 lvl=info msg="join connections" obj=join id=174cbf2c86b6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:50-0500 lvl=info msg="join connections" obj=join id=96baa8b8dee0 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
